"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin"
"eir_3","IBM",7,1,2,1.5,0.0445936,0.0496534,1.00159
"eir_3","IBM",7,2,3,2.5,0.0421206,0.0740429,1.37129
"eir_3","IBM",7,3,5,4,0.0787228,0.0961906,1.54908
"eir_3","IBM",7,5,7,6,0.0724725,0.0996397,1.16583
"eir_3","IBM",7,7,10,8.5,0.0984519,0.0936791,0.899777
"eir_3","IBM",7,10,15,12.5,0.133453,0.0789665,0.685085
"eir_3","IBM",7,15,20,17.5,0.104866,0.0691061,0.574345
"eir_3","IBM",7,20,30,25,0.149344,0.0591016,0.348916
"eir_3","IBM",7,30,40,35,0.093138,0.0492551,0.168933
"eir_3","IBM",7,40,60,50,0.093322,0.0470978,0.106961
"eir_3","IBM",7,60,85,72.5,0.0425258,0.0469013,0.0867288
"eir_10","IBM",7,0,1,0.5,0.0460073,0.0696558,1.42545
"eir_10","IBM",7,1,2,1.5,0.0427402,0.15,3
"eir_10","IBM",7,2,3,2.5,0.0409521,0.187609,3.07486
"eir_10","IBM",7,3,5,4,0.0779268,0.186735,2.12432
"eir_10","IBM",7,5,7,6,0.0728586,0.172488,1.61278
"eir_10","IBM",7,7,10,8.5,0.0970553,0.154603,1.1191
"eir_10","IBM",7,10,15,12.5,0.132903,0.120856,0.577134
"eir_10","IBM",7,15,20,17.5,0.109899,0.0890757,0.260842
"eir_10","IBM",7,20,30,25,0.155339,0.0681057,0.181929
"eir_10","IBM",7,30,40,35,0.0895299,0.0554503,0.13253
"eir_10","IBM",7,40,60,50,0.0924176,0.0511412,0.0870559
"eir_10","IBM",7,60,85,72.5,0.0423715,0.0548787,0.0606339
"demography","IBM",7,0,1,0.5,0.0187503,0.0189839,0.394458
"demography","IBM",7,1,2,1.5,0.017571,0.0435653,0.811115
"demography","IBM",7,2,3,2.5,0.0165186,0.0523173,0.985459
"demography","IBM",7,3,5,4,0.0342958,0.0686059,1.1236
"demography","IBM",7,5,7,6,0.0337194,0.0849066,1.23996
"demography","IBM",7,7,10,8.5,0.0476343,0.0795556,0.982673
"demography","IBM",7,10,15,12.5,0.0777209,0.0748406,0.744799
"demography","IBM",7,15,20,17.5,0.0831621,0.064808,0.545808
"demography","IBM",7,20,30,25,0.15806,0.0537783,0.387385
"demography","IBM",7,30,40,35,0.156746,0.0475129,0.200809
"demography","IBM",7,40,60,50,0.22909,0.0446028,0.141082
"demography","IBM",7,60,85,72.5,0.126732,0.0435552,0.0839439
"eir_1","IBM",8,0,1,0.5,0.0460465,0.00828227,0.175792
"eir_1","IBM",8,1,2,1.5,0.0446711,0.0209444,0.42003
"eir_1","IBM",8,2,3,2.5,0.0425935,0.0285211,0.555816
"eir_1","IBM",8,3,5,4,0.079407,0.0336097,0.58433
"eir_1","IBM",8,5,7,6,0.0755259,0.041755,0.680278
"eir_1","IBM",8,7,10,8.5,0.0965911,0.0489684,0.732835
"eir_1","IBM",8,10,15,12.5,0.135153,0.0480377,0.588393
