"scenario","model","rep","pvpr_2_10","pcr_2_10","clin_0_5","clin_all","relapse_all","hyp_all","eir_realised"
"nets","IBM",4,0.0437858585190686,0.0873968749682105,0.537537177396143,0.386537050707989,1.84894451305474,0.149179597215419,1.69585831825388
"nets_e10","IBM",4,0.131433982077585,0.258643277961121,1.82175426345594,0.773113773325208,7.75748892564756,0.408477832257704,7.60866064795495
"irs_e1","IBM",4,0,0,0,0,0,0.00366534608072541,8.26579617806747e-69
"irs","IBM",4,0,0,0,0,0,0.0110449186421965,1.20431648877137e-63
"irs_e10","IBM",4,0,0,0,0,0,0.0298254796620494,1.52792879455748e-25
"treatment_e1","IBM",4,0.0159442060289385,0.0334459031124211,0.310336974130899,0.294790215234204,1.0304230513601,0.101739654320461,0.663474350160934
"treatment","IBM",4,0.0458818415991272,0.0972721596321461,0.822628797397377,0.532648982278819,3.68835563252469,0.258571871636123,2.52217966610253
"treatment_e10","IBM",4,0.10370678000207,0.223592913151454,1.78307398493477,0.731132114535199,11.069989765953,0.50686965696159,9.01749924704323
"primaquine_e1","IBM",4,0.00166863113631296,0.00421107960880507,0.0404893131971316,0.0476221934673891,0.308437544591252,0.0309562633842666,0.242984231953835
"primaquine","IBM",4,0.0133742445503777,0.0302170350407044,0.261950321659539,0.182757233155594,2.03903225287245,0.144652534909762,1.71371171624013
"primaquine_e10","IBM",4,0.0464982695665581,0.111746139585373,0.85224641538668,0.379433622772338,8.1655297677738,0.366849608898991,7.60517178616166
"tafenoquine_e1","IBM",4,0.00206567753020175,0.00450897585316027,0.0468866004299065,0.0476677395925075,0.350648052048192,0.0325005268435642,0.265311481342465
"tafenoquine","IBM",4,0.0133734010321829,0.0287454426471756,0.257278195938128,0.17697123587656,2.09235151075464,0.144200475227423,1.71229522885977
"tafenoquine_e10","IBM",4,0.045442090231353,0.108284281376634,0.86806695606192,0.389310851750354,8.16022394293001,0.368701743016587,7.55455875785174
"nets_e1","IBM",5,0.0141160367375597,0.0288661469586243,0.173874785940878,0.170907381198275,0.470599448503735,0.0483718335793307,0.398774179765037
"nets","IBM",5,0.0472392078181816,0.0942154952029784,0.623868655613938,0.412473286016279,1.99293857222525,0.160527897553631,1.81500934772978
"nets_e10","IBM",5,0.137817696100543,0.266542297262966,2.05815751494743,0.844142994560679,7.80910303941924,0.41059557220362,7.67037424365793
"irs_e1","IBM",5,0,0,0,0,0,0.00460006950995482,4.98870725042421e-77
"irs","IBM",5,0,0,0,0,0,0.00932105159102008,1.42009277986438e-53
"irs_e10","IBM",5,0,0,0,0,0,0.0283485204292775,5.052308153735e-06
"treatment_e1","IBM",5,0.0133987636689969,0.0290859022971185,0.251409183574154,0.26616195499988,0.959709535316014,0.0964648474041577,0.587308837912047
"treatment","IBM",5,0.0436544551312808,0.0919441993735957,0.841075851508715,0.518764573912627,3.47698219014965,0.257186606815852,2.3709931041057
"treatment_e10","IBM",5,0.107662917145376,0.232679934399281,1.95691317130111,0.756791674162996,11.3913899647424,0.516888723571071,9.02502620109938
"primaquine_e1","IBM",5,0.00129969962497556,0.00311642261724909,0.0249729192669058,0.0296044028560299,0.221529545181176,0.0233137546214061,0.171961451787084
"primaquine","IBM",5,0.0115009662573674,0.0261387037256526,0.218793998959664,0.163439065861126,1.92570643760145,0.139175041003406,1.54451946389659
"primaquine_e10","IBM",5,0.0455783302146237,0.104148815982282,0.848229203094923,0.380787357864136,8.19220197805782,0.369371854181645,7.40047464165725
"tafenoquine_e1","IBM",5,0.00150142762545351,0.00380010673893743,0.0357713543986631,0.0401023929224506,0.253030998021153,0.0254807299348055,0.212083237628363
"tafenoquine","IBM",5,0.0103799417204762,0.0242397826293275,0.212911686978979,0.15769693072372,1.74184800922606,0.130582089410892,1.42286334668953
"tafenoquine_e10","IBM",5,0.0412288798528291,0.0971285727324968,0.820482234215163,0.372412054903268,8.04724525855034,0.364082708198918,7.21342050812976
"nets_e1","IBM",6,0.0101051480316954,0.020625413269742,0.116865952056615,0.116457212274526,0.334801896227687,0.0356961863720086,0.290046072127798
"nets","IBM",6,0.0450327776434511,0.0895483888141202,0.573277130279232,0.391269564352808,1.73833365708515,0.144689994595953,1.6639344840508
