"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"eir_20","IBM",6,11,0.552826,1.57817
"eir_20","IBM",6,18,0.547109,1.28131
"eir_20","IBM",6,25,0.545202,1.77772
"eir_20","IBM",6,32,0.540388,1.43555
"eir_20","IBM",6,39,0.536409,1.21131
"eir_20","IBM",6,46,0.540641,1.35761
"eir_20","IBM",6,53,0.542895,1.01176
"eir_20","IBM",6,60,0.544498,1.48043
"eir_20","IBM",6,67,0.546841,1.2069
"eir_20","IBM",6,74,0.545387,1.89451
"eir_20","IBM",6,81,0.549232,1.59625
"eir_20","IBM",6,88,0.548915,1.50003
"eir_20","IBM",6,95,0.546228,1.47356
"eir_20","IBM",6,102,0.544035,1.41995
"eir_20","IBM",6,109,0.539739,1.63842
"eir_20","IBM",6,116,0.53962,2.00751
"eir_20","IBM",6,123,0.537837,1.12458
"eir_20","IBM",6,130,0.538028,1.34551
"eir_20","IBM",6,137,0.535118,1.05265
"eir_20","IBM",6,144,0.541307,1.566
"eir_20","IBM",6,151,0.544611,1.42119
"eir_20","IBM",6,158,0.541743,1.45036
"eir_20","IBM",6,165,0.539355,1.47405
"eir_20","IBM",6,172,0.54267,1.37458
"eir_20","IBM",6,179,0.543524,1.67454
"eir_20","IBM",6,186,0.541861,1.38127
"eir_20","IBM",6,193,0.538939,1.55729
"eir_20","IBM",6,200,0.537692,1.57998
"eir_20","IBM",6,207,0.538961,1.2357
"eir_20","IBM",6,214,0.537374,1.62946
"eir_20","IBM",6,221,0.535734,1.33419
"eir_20","IBM",6,228,0.537357,1.85066
"eir_20","IBM",6,235,0.541866,1.87192
"eir_20","IBM",6,242,0.544765,1.43031
"eir_20","IBM",6,249,0.54709,1.5787
"eir_20","IBM",6,256,0.549628,1.57646
"eir_20","IBM",6,263,0.546857,1.69607
"eir_20","IBM",6,270,0.548152,1.59689
"eir_20","IBM",6,277,0.546466,1.59668
"eir_20","IBM",6,284,0.547042,1.54953
"eir_20","IBM",6,291,0.547474,1.45252
"eir_20","IBM",6,298,0.547032,1.57635
"eir_20","IBM",6,305,0.544501,1.82205
"eir_20","IBM",6,312,0.542627,1.47943
"eir_20","IBM",6,319,0.541937,1.50724
"eir_20","IBM",6,326,0.540081,1.38379
"eir_20","IBM",6,333,0.537663,1.43002
"eir_20","IBM",6,340,0.538999,1.65158
"eir_20","IBM",6,347,0.548562,1.89911
"eir_20","IBM",6,354,0.553402,1.33194
"eir_20","IBM",6,361,0.552297,1.2853
"eir_20","IBM",6,365,0.554073,2.25309
"demography","IBM",6,4,0.512358,1.13003
"demography","IBM",6,11,0.509941,1.06946
"demography","IBM",6,18,0.503281,1.1357
"demography","IBM",6,25,0.503602,1.64102
"demography","IBM",6,32,0.49882,1.26167
"demography","IBM",6,39,0.498551,1.38592
"demography","IBM",6,46,0.501074,1.45242
"demography","IBM",6,53,0.502638,1.38927
"demography","IBM",6,60,0.506721,1.38377
"demography","IBM",6,67,0.51036,1.00258
"demography","IBM",6,74,0.513667,1.63143
"demography","IBM",6,81,0.510882,1.31769
"demography","IBM",6,88,0.509793,1.31746
"demography","IBM",6,95,0.509675,1.63423
"demography","IBM",6,102,0.50789,0.944454
"demography","IBM",6,109,0.512093,0.757392
